Series_Name,Number_of_episodes,Number_of_seasons,Genre,Year_released,End_year,Avg_runtime,Rating,Number_of_raters,Number_of_reviews,Number_of_critics_review,Keywords,pos_neg,joy_sad
The Simpsons,691,32,Animation,1989,NA,22,8.7,358492,804,132,adult animation cult tv beer satire dysfunctional family sitcom adult humor brat cat and mouse yellow skin television absurdism slapstick comedy dark comedy family as protagonists 1990s 2000s 2010s 2020s 20th century 21st century car driving watching tv employer employee relationship affection dysfunctional society wisecrack humor famous line father daughter relationship marriage disney disney plus 2d animation anti hero actor playing multiple roles title spoken by character saxophone musician overachiever elementary school mary jane shoes pearl necklace necklace child profanity social media family character name as series title black comedy the color yellow controversy neighbor neighbor relationship baby boy girl bare shoulders man wears eyeglasses boy wears eyeglasses bully 1980s pet parent child relationship police spoof friend catchphrase humor cartoon dog cartoon cat husband wife relationship pacifier cartoon mouse mouse cat versus mouse suburb grandfather grandson relationship grandfather granddaughter relationship schoolteacher student principal relationship school life comic book shop school bus driver school bus belching aunt nephew relationship aunt niece relationship indian american stupidity teacher student relationship treehouse male and female protagonists elderly man parody advice burping convenience store multiple actors for one character stay at home mom best friend jewish schoolgirl schoolboy celebrity guest drunkenness bartender nuclear power nuclear energy bedroom living room married couple pastor grade school father son conflict house nursing home prank telephone call big business blood gore surrealism alien italian american cop bible basher classroom police chief policeman running gag cigarette smoking polygamy gay marriage millennium millenia floating timeline frog pet frog twin sisters twin chain smoking male protagonist working class 20th television foxvideo nuclear power plant school neighbor housewife blue hair actress playing male role eyeglasses donut fast food friendship chalk bar blackboard dog cat boss skateboard car bicycle sexual humor police officer clown dysfunctional marriage mother son relationship scottish stereotype cult female character cult male character writing lines as punishment calling parent by first name political satire crude humor family relationships precocious child couch sister sister relationship laziness religion mother daughter relationship father son relationship brother sister relationship social satire small town self referential famous opening theme gay man lgbt same sex marriage same sex kiss stereotype two word title scatological humor fictional city series in series different gags during credits,Neutral,Joy
Daredevil,39,3,Action,2015,2018,54,8.6,355392,929,190,vigilante blind man marvel comics ninja lawyer superhero neo noir crime boss hell's kitchen manhattan new york city based on comic book daredevil the marvel comics character matt murdock character wilson fisk a.k.a. kingpin character one against many one word series title blood masked man reporter catholic hand to hand combat marvel cinematic universe based on comic male objectification foggy nelson character character name as series title one man army violence cane corruption partnership nurse secret identity yakuza shared universe karen page character new york city fictional character red suit red armour prison fight blindness male protagonist,Negative,Sad
Narcos,30,3,Biography,2015,2017,49,8.8,343983,388,72,colombia based on true story murder deception jungle army drug cartel police officer guerilla civilian death payoff police shootout central intelligence agency agent mexico true crime south america latin america drug lord death criminal blood violence mob gangster cocaine drug drugs brutality cruelty shot to death police danger money usa mob boss homicide killing explosion drug trafficking crime boss cali colombia medellin colombia organized crime criminal organization mafia boss mafia gangster boss weapon firearm gun revolver revenge vengeance threat menace risk massacre slaughter bomb exploding car telephone telephone call jail love lover female journalist journalist prostitution profanity vulgarity sadism beating beaten to death trap abduction shooting cia submachine gun machine gun evil panama chile 1970s investigation information politician policy drug kingpin kingpin binoculars map cigarette smoking helicopter corpse knife stabbed to death tension suspicion money laundering escape cocaine use drug use drug money vehicle car car driving mass media newspaper headline newspaper television television news hostage prostitute blood splatter mass death mass murder mass homicide mass killing truck truck driving police station dead man dead woman destruction ruthlessness motorcycle explosive hand grenade payback bloodbath informant radio execution rifle shotgun police car fire bullet photo photograph road mountain woods forest city countryside neighborhood new york city miami florida spain trafficker rape torture interview interrogation cartel gore ambush setup set up drug dealing treachery betrayal mercilessness unscrupulousness cousin cousin relationship dead child dead boy dead girl mass destruction jeep colombian flag bundle of money mutilation television journalist ambulance carnage bloodshed vigilantism dea foot chase police operation political corruption secret operation police corruption curacao juarez mexico friendship friend brother brother relationship killer assassin pistol handgun home apartment building apartment house search raid audio recording audio cassette evidence drug enforcement administration witness government corruption incriminating evidence account book accountant politics surprise press conference mole spying tapped telephone telephone tapping car chase dismemberment secret information neo noir van scandal extradition airplane plane buried money money launderer jail cell prison cell colombian drug cartel dea agent husband wife relationship hidden money extradition treaty exploding aircraft narcotic 1990s cop killer lawyer u.s. foreign policy news anchor kidnapping siege colombian parliament prison hideout bribe checkpoint cold war street shooting paramilitary group smuggling drug war car bomb terrorism corruption ham radio attorney general president protective custody sacrifice loyalty paranoia death squad police informant colombian government farc cocaine lab spy plane electronic surveillance medellin cartel cali cartel bogota colombia hitman assassination u.s. embassy u.s. government 1980s sex nudity female nudity female frontal nudity female rear nudity breasts nipples male nudity male frontal nudity male rear nudity latin american history latin american politics copaganda based on real people based on real person drug trafficking in latin america persona non grata drug policy desperation obsession infidelity idol status family man netflix original reference to pablo escobar 20th century,Negative,Sad
South Park,309,24,Animation,1997,NA,22,8.7,325804,494,134,elementary school colorado profanity religious humor dysfunctional school dysfunctional society anti censorship political humor child swearing cult tv social satire censorship fighting obscenity caustic humor social criticism hypocrisy materialism selfishness shock humor dysfunctional friendship adult animation scatological humor place name in title town name in title adult humor running gag overweight child crude humor death violence 20th century 21st century 1990s 2000s 2010s bullying vulgarity boy south park colorado absurdism fight dysfunctional couple dysfunctional relationship bully individualism verbal abuse false morality argument joy wrath rage anger scandal clumsiness insecurity immaturity contradiction hedonism prank racism religion abuse mistreatment depravity sarcasm embarrassment rebelliousness rudeness offence insubordination perversion group of friends dysfunctional family sexual humor actor playing multiple roles crazy humor adopted brother scatology irreverence social commentary famous opening theme sociopath morality insult topical humor made for cable tv ethnic slur satire computer animation friendship small town round people parenting explosion flatulence title spoken by character sitcom slapstick comedy woman wears eyeglasses cult favorite cutout animation laughter bad friend man wears eyeglasses boy wears eyeglasses girl wears eyeglasses isolation mental health pent up energy pent up anger gun fight sexual abuse emotional abuse misery despair ruin murder physical abuse rape cyber bullying child abuse screaming in rage nightmare violence in school domestic violence low life carefree outsider fear of outsiders criminal record police rivalry resolution feud bitter feud gross out comedy swearing danger police officer hatred ensemble cast child fictional city libertarian libertarianism created by trey parker created by matt stone hbo max strong willed stubborn bitter burden male protagonist direction in title 20th television surrealism dark comedy black comedy controversy anti semitism cardinal direction in title,Negative,Sad
Mr. Robot,46,4,Crime,2015,2019,49,8.6,323640,915,106,social anxiety disorder anarchist drug addict split personality paranoia introvert hallucination reality vs fantasy hacking psychotherapy hacker childhood trauma schizophrenia murder losing one's mind father son relationship revolution secret society conspiracy theory computer programmer antihero invasion of privacy conspiracy inner monologue drug user new york city psychological drama multiple personality disorder criminal drug addiction mask brother sister relationship female therapist live suicide dead father anonymous set up psychotherapist love interest accidental incest gay co worker talking to oneself greed dog unreliable narration unreliable narrator it was all a dream happy ending fantasy mistaken for reality surrealism male protagonist thwarted ambition husband wife relationship murdered friend lesbian kiss incestuous kiss conspirator mother son relationship drug dealer childhood friend no ending subway sabotage,Negative,Neutral
Peaky Blinders,37,7,Crime,2013,NA,60,8.8,316347,738,79,gypsy 1920s gangster birmingham england race fixing bookmaking organized crime world war one gang war razor blade corruption brother brother relationship matriarch protection racket crime boss peaked cap 1910s swagger world war one veteran racehorse nouveau riche ensemble cast opium pipe,Negative,Neutral
Fargo,41,4,Crime,2014,NA,53,8.9,313863,476,105,insurance salesman police officer anthology vito russo test failed black comedy dark comedy place name in title location in title name calling nickname mortuary minnesota death small town murder police chief gangster police protagonist seasonal anthology series lynchian husband wife relationship year 1979 year 2006 hitman blood dysfunctional family dysfunctional marriage female police officer police investigation police station assassin con man violence fargo north dakota snow one word title based on film title spoken by character,Negative,Sad
Better Call Saul,63,6,Crime,2015,NA,46,8.7,309567,724,110,prequel spin off financial struggle shared universe character flaw brother brother relationship law firm drug trade sibling rivalry parallel storylines black comedy criminal underworld criminal retired cop organized crime money mental illness psychosomatic illness going straight class differences period piece 2000s bank boyfriend girlfriend relationship male female relationship employer employee relationship desert new mexico anti hero tragic hero forgone conclusion drug cartel drug lord bitterness con artist dysfunctional family cain and abel sociopath multiple storyline electromagnetic hypersensitivity foreshadowing assumed name albuquerque new mexico attorney criminal lawyer dark comedy character name in title private investigator lawyer client relationship alter ego nail salon alias betrayal workplace romance downward spiral public defender cleaner prequel television series columbia tristar male protagonist,Negative,Sad
The Sopranos,86,6,Crime,1999,2007,55,9.2,290314,557,84,violence mafia psychiatrist cheating husband cult tv mob hit mafia boss mob violence crime boss disturbed childhood prozac nudity sex scene female therapist new jersey unfaithful husband revenge fbi family relationships gangster dysfunctional family corruption organized crime strip club italian american psychoanalysis domineering mother infidelity abusive boyfriend caucasian profanity strong language f word c word swearing gunshot bullet drug use drugs teenager handgun teenage son teenage daughter alcohol gun cocaine drug drinking drug user graphic violence tracksuit husband wife relationship therapist client relationship family character name as series title tough man wears eyeglasses woman wears eyeglasses adultery intimidation depression gunfight beating anti hero name calling nickname male protagonist 2000s 21st century 1990s 20th century two word title russian prostitute hospital dismemberment cigarette smoking bar surveillance mob enforcer psychopath extramarital affair drug dealer drug addiction dream sequence cigar smoking gang leader female nudity new york city father son relationship marijuana heroin shot in the face murder hitman ensemble cast borderline personality disorder shot in the forehead garbage n word underage drinking italian american stereotype neo noir homophobia gay slur decapitation racism gay interracial romance blacks versus italians racial slur lithium child driving car,Negative,Sad
The Wire,60,5,Crime,2002,2008,59,9.3,277052,501,69,urban decay corruption wiretapping drug war drug trafficking drug dealing baltimore maryland police department politics homicide department organized crime surveillance male camaraderie working class african american lesbian baltimore baltimore police department male protagonist police detective narcotics squad italian american cop irish american cop lesbian relationship,Negative,Sad
Arrested Development,84,5,Comedy,2003,NA,22,8.7,272407,402,57,dysfunctional family amateur magician failed actor blue man orange county california black comedy family relationships destroying evidence older woman younger man relationship hook for hand bad parenting homosexual subtext voice over narration father son relationship crooked businessman magician 2000s 2010s man wears eyeglasses male protagonist 20th television prison interracial adoption adoption scheme lawyer attorney hospital fake coma stupidity incestuous desire tragedy turned into comedy absurdism court adulterous husband jail prosthetic hand straight man dead wife alcoholic domineering mother womanizer cult tv bald man deadbeat dad narcissism self loathing low self esteem mockumentary incest blonde stereotype illusion handheld camera fake documentary uncle self referential identical twins brother sister relationship sitcom spoiled child single father sibling rivalry investment scandal cousin cousin relationship title spoken by character sexual humor,Negative,Sad
Dark,26,3,Crime,2017,2020,60,8.8,259482,3093,167,small town cave 1980s mysterious disappearance investigation search for missing person missing child nuclear power plant family crisis time travel time loop year 2019 brainstorming year 1986 search for son power outage loss of father german town chernobyl electromagnetic field dead bird year 1953 mysterious past preventing a murder changing the past changing the future time portal repeated event deja vu year 2052 butterfly effect newspaper headline nuclear waste missing person poster police report loss of brother ear bleeding time machine alternate dimension multiple time frames surrealism conspiracy police station corpse heavy rain crossroads tape recorder backwoods burning a message flashlight breasts time traveler teenage nudity oral sex netflix original series 1950s germany apocalypse post apocalypse yellow jacket psychotronic series supernatural power nylon feet foreign language series title small town life intercourse teenage sex aunt nephew sexual relationship normalized pedophilia flaccid breasts,Negative,Sad
Sons of Anarchy,92,7,Crime,2008,2014,45,8.6,252581,463,83,motorcycle gun running street gang stepfather stepson relationship biker porn actress irish mob fictional town gang leader arms trafficking police corruption biker gang one percenter motorcycle gang doctor vietnam war veteran 21st century male protagonist violence shooting cigarette smoking fight american flag blood spatter stabbing beating murder blood tattoo skinhead aryan brotherhood prison mexican gang biker bar gang war drug trafficking auto shop chinese mafia california family relationships husband wife relationship title appears in writing mother son relationship bare chested male mexican american title at the end irish republican army,Negative,Sad
Seinfeld,173,9,Comedy,1989,1998,22,8.8,248898,493,33,cringe comedy situation comedy buddy comedy new york yankees dating based on standup comedy black comedy wisecrack humor eccentricity jew controversy actor plays himself stand up adult humor jewish humor new york city everyday life comedian stand up comedian neurotic goofball neighbor friendship apartment series title spoken by character balding man neighbor neighbor relationship narcissism slapstick comedy observational comedy apartment building monologue joke manhattan new york city sociopath selfishness immorality actor shares last name with character diner comedy of manners domineering mother stand up comedy book publishing upper west side manhattan new york city ensemble cast actor shares first name with character character name as series title cult tv male protagonist columbia tristar reference to superman live audience,Positive,Joy
Firefly,14,1,Adventure,2002,2003,44,9,240386,779,72,future captain psychic spacecraft preacher doctor fugitive outer space smuggling cargo single season tv series one word series title starship captain neo western psychic power mandarin space opera space colony mysterious past cult tv wisecrack humor warrior woman spaceship space travel anti hero space western prostitute dystopia wit interracial marriage husband wife relationship brother sister relationship male protagonist interracial couple older brother younger sister relationship mechanic smuggler mercenary male physician physician human in outer space siblings living together one world government space smuggler starship pilot starship camaraderie friendship pistol interracial relationship 26th century infirmary action hero interracial friendship female soldier spaceport ex soldier spaceship pilot mythology comic relief space shuttle unrequited love,Positive,Joy
Avatar: The Last Airbender,66,3,Animation,2005,2008,23,9.2,236192,602,55,child hero hero supernatural power shared universe chase fire villain water psychotronic series four elements action girl fight anime inspired coming of age lemur spirit child protagonist avatar earth martial arts strong female character female warrior action hero child fighting adult honor abusive father death of loved one redemption good versus evil friendship faith warrior flying animal anime 2000s cryogenic suspension brother sister relationship magic training baldness barrel male protagonist an aesop tribe boy alternate timeline cartoon violence violence sword and sorcery superhero super villain christ allegory bald hero surrealism monk family relationships anti hero teenage boy psychic child child soldier bison shipping child abuse,Positive,Joy
Hannibal,39,3,Crime,2013,2015,44,8.5,222611,575,110,battle of wits child prodigy fbi serial murder shinigami anime erased memory perfectionist secret identity detective magical realism intelligence heart attack death police japan based on manga serial killer vigilante moral dilemma anti hero apple arrogance bus chief of police criminal danger eyes father son relationship fbi agent flashback death in title hit by a car investigation manipulation memory moral ambiguity potato chip playing god prison cell room supernatural power student surveillance tv news live television deception fear god of death hidden identity justice kanto region male protagonist neo noir poetic justice police investigation psychological manipulation revelation self justice sudden death suspicion urban setting vigilante justice villain played by lead actor shounen confrontation conspiracy note,Negative,Sad
Death Note,37,1,Animation,2006,2007,24,9,221886,444,33,cannibalism homoeroticism psychiatrist blood manipulation criminal profiler fbi violence murder investigation murder mental health psychiatry cannibal based on novel psychopath psychopathy female journalist gore mental patient borderline personality disorder female agent prequel title spoken by character character name as series title man wears eyeglasses serial murder psychoanalysis psychoanalyst psychological profile fbi investigation police investigation mutilation personality disorder autism spectrum giftedness asperger's syndrome hannibal lecter killer vs killer blood splatter scene before opening credits corpse fbi agent mysterious death death criminal investigation sadism brutality maniac psycho killer doctor based on film one word series title based on true story,Negative,Sad
Spartacus,34,3,Action,2010,2013,55,8.5,219314,421,71,bounty hunter armor mandalorian intergalactic bounty hunter outer space space travel space opera one man army loner psychotronic series man with no name disney star wars gunfight space western spaghetti western shared universe gun handgun pistol shooting hologram gunslinger tv western code of honor disney plus anti hero action hero tough guy warrior honor based on film future male protagonist woke weapon weapons fire infant baby frog crying baby baby yoda character spacecraft starship the force one against many hoverbike hovercar two word series title,Positive,Joy
Community,110,6,Comedy,2009,2015,22,8.5,209081,351,68,gladiator gay female nudity violence slave sex slave girl roman army belief in gods orgy lesbian homoeroticism rape group sex female frontal nudity gay relationship bare butt adulterous wife adultery male nudity female full frontal nudity male full frontal nudity male frontal nudity training rebel belief in the afterlife friendship between men friend severed head self sacrifice musclemen husband wife relationship hero bare chested male homosexuality bare breasts roman slavery betrayal army rescue spear warrior roman soldier roman empire sword fighting stabbed in the chest whipping peplum whip jealousy helmet gore fistfight fight decapitation crucifixion colosseum beating friendship sword statue stabbing stabbed in the stomach slave revolt rebellion assassination fight to the death epic historical fiction ancient rome beaten to death sword and sandal murder of wife dream imagery manipulation revenge assassination plot power struggle sword fight political conspiracy rivalry hand to hand combat power murder controversy soldier 1st century b.c. arena blood splatter hatred honor loss of wife cult tv title spoken by character kiss horse battle shield blood male objectification spartacus roman republic cheating wife cheating girlfriend voyeur menage a trois love triangle character name in series title flaunting villainess villain rebel army beefcake,Negative,Sad
Parks and Recreation,125,7,Comedy,2009,2020,22,8.6,205751,294,42,super powers black comedy superhero versus superhero closeted gay man enhancement drug corporate marketing gore based on comic book ensemble cast spoof superhero superheroine based on comic violence blood revenge nudity vengeance vigilante super speed female superhero female ceo f word frenchman abroad frenchman in new york frenchman in america superhero team up new york city pantyhosed leg pantyhosed feet name calling nickname gender in title supernatural power f bomb s word dynamite entertainment,Positive,Sad
Mindhunter,19,2,Crime,2017,NA,60,8.6,203090,721,108,study group community college sitcom college friendship parody lawyer spanish class christian stereotype colorado unlikely friendship sarcasm slacker dean movie fan friend satire joke educational institution vocational education male protagonist black comedy dark comedy man wears eyeglasses columbia tristar dating teenage boy teenage girl stand up comedian comedian social satire university,Negative,Neutral
Mad Men,92,7,Drama,2007,2015,47,8.6,202097,363,170,mockumentary feminism workplace relationship employment employer employee relationship small town office fake documentary indiana park female protagonist workplace office romance romantic tension politics political satire sitcom mock documentary looking at the camera government absurdism absurd humor conservative interview election social commentary parody kiss friendship money politician upright citizens brigade tension awkward silence joke breaking the fourth wall job satire,Negative,Joy
The Boys,17,3,Action,2019,NA,60,8.7,201241,1808,88,prison interview police police investigation murder psychology psychological study fbi fbi agent psychopath rapist travel serial murder web series pantyhosed feet lgbt lesbian,Negative,Sad
